Dates,Portfolio Values
22/08/2022 00:00:00,1.066649511200773
23/08/2022 00:00:00,1.09797494879348
24/08/2022 00:00:00,1.2174018594242622
25/08/2022 00:00:00,1.1902860343881425
26/08/2022 00:00:00,1.317433362628302
29/08/2022 00:00:00,1.307644069156657
30/08/2022 00:00:00,1.2054782475678465
31/08/2022 00:00:00,1.1881480255343781
01/09/2022 00:00:00,1.211460080974005
02/09/2022 00:00:00,1.3699604685707119
05/09/2022 00:00:00,1.4110802905592656
06/09/2022 00:00:00,1.4790585041119098
07/09/2022 00:00:00,1.5165160124716444
08/09/2022 00:00:00,1.5381723129363607
09/09/2022 00:00:00,1.5481170869389853
12/09/2022 00:00:00,1.6224895530760985
